SampleID,Ratio,SE,ORDER
Reference (PSMA7_sg4),0,0,0
R01-C02_______________________________________________________,0,0,0
R01-C02_(profile#1),89.2,2.03960780544,-1
R01-C04_______________________________________________________,0,0,-2
R01-C04_(profile#1),90.4,2.15406592285,-3
R01-C06_______________________________________________________,0,0,-4
R01-C06_(profile#1),89.4,2.93938769134,-5
R01-C08_______________________________________________________,0,0,-6
R01-C08_(profile#1),88.2,2.31516738056,-7
R01-C10_______________________________________________________,0,0,-8
R01-C10_(profile#1),91.4,2.0591260282,-9
R01-C12_______________________________________________________,0,0,-10
R01-C12_(profile#1),86.6,1.8547236991,-11
R01-C14_______________________________________________________,0,0,-12
R01-C14_(profile#1),87.4,1.8547236991,-13
R01-C16_______________________________________________________,0,0,-14
R01-C16_(profile#1),86.8,1.16619037897,-15
R01-C18_______________________________________________________,0,0,-16
R01-C18_(profile#1),87.6,1.01980390272,-17
R01-C20_______________________________________________________,0,0,-18
R01-C20_(profile#1),88.8,2.22710574513,-19
R01-C22_______________________________________________________,0,0,-20
R01-C22_(profile#1),58.6,2.93938769134,-21
R01-C22_(profile#52),22.6,1.01980390272,-22
R01-C24_______________________________________________________,0,0,-23
R01-C24_(profile#1),86.6,1.01980390272,-24
R03-C02_______________________________________________________,0,0,-25
R03-C02_(profile#1),88.0,1.67332005307,-26
R03-C04_______________________________________________________,0,0,-27
R03-C04_(profile#1),89.4,2.33238075794,-28
R03-C06_______________________________________________________,0,0,-29
R03-C06_(profile#1),89.8,1.93907194297,-30
R03-C08_______________________________________________________,0,0,-31
R03-C08_(profile#1),75.8,2.92574776767,-32
R03-C08_(profile#84),15.6666666667,0.942809041582,-33
R03-C10_______________________________________________________,0,0,-34
R03-C10_(profile#1),89.8,2.63818119165,-35
R03-C12_______________________________________________________,0,0,-36
R03-C12_(profile#1),87.4,1.2,-37
R03-C14_______________________________________________________,0,0,-38
R03-C14_(profile#1),89.2,3.1874754901,-39
R03-C16_______________________________________________________,0,0,-40
R03-C16_(profile#1),85.6,1.01980390272,-41
R03-C18_______________________________________________________,0,0,-42
R03-C18_(profile#1),91.4,3.77359245282,-43
R03-C20_______________________________________________________,0,0,-44
R03-C20_(profile#1),53.6,2.41660919472,-45
R03-C20_(profile#115),35.2,2.4,-46
R03-C22_______________________________________________________,0,0,-47
R03-C22_(profile#1),85.6,1.49666295471,-48
R03-C24_______________________________________________________,0,0,-49
R03-C24_(profile#1),88.8,2.31516738056,-50
R05-C02_______________________________________________________,0,0,-51
R05-C02_(profile#1),92.8,1.72046505341,-52
R05-C04_______________________________________________________,0,0,-53
R05-C04_(profile#1),92.4,2.65329983228,-54
R05-C06_______________________________________________________,0,0,-55
R05-C06_(profile#1),92.0,2.52982212813,-56
R05-C08_______________________________________________________,0,0,-57
R05-C08_(profile#1),94.4,1.8547236991,-58
R05-C10_______________________________________________________,0,0,-59
R05-C10_(profile#1),89.8,2.31516738056,-60
R05-C12_______________________________________________________,0,0,-61
R05-C12_(profile#1),87.8,1.32664991614,-62
R05-C14_______________________________________________________,0,0,-63
R05-C14_(profile#1),87.0,1.41421356237,-64
R05-C16_______________________________________________________,0,0,-65
R05-C16_(profile#1),89.8,1.32664991614,-66
R05-C18_______________________________________________________,0,0,-67
R05-C18_(profile#1),86.6,1.35646599663,-68
R05-C20_______________________________________________________,0,0,-69
R05-C20_(profile#1),87.2,1.93907194297,-70
R05-C22_______________________________________________________,0,0,-71
R05-C22_(profile#1),89.8,2.03960780544,-72
R05-C24_______________________________________________________,0,0,-73
