SampleID,base_index,Char_stat,ORDER
Reference (PSMA7_sg4),-30,Ref,0
Reference (PSMA7_sg4),30,-,0
Reference (PSMA7_sg4),29,-,0
Reference (PSMA7_sg4),28,-,0
Reference (PSMA7_sg4),27,-,0
Reference (PSMA7_sg4),26,-,0
Reference (PSMA7_sg4),25,-,0
Reference (PSMA7_sg4),24,-,0
Reference (PSMA7_sg4),23,-,0
Reference (PSMA7_sg4),22,-,0
Reference (PSMA7_sg4),21,-,0
Reference (PSMA7_sg4),20,-,0
Reference (PSMA7_sg4),19,-,0
Reference (PSMA7_sg4),18,-,0
Reference (PSMA7_sg4),17,-,0
Reference (PSMA7_sg4),16,-,0
Reference (PSMA7_sg4),15,-,0
Reference (PSMA7_sg4),14,-,0
Reference (PSMA7_sg4),13,-,0
Reference (PSMA7_sg4),12,-,0
Reference (PSMA7_sg4),11,-,0
Reference (PSMA7_sg4),10,-,0
Reference (PSMA7_sg4),9,-,0
Reference (PSMA7_sg4),8,-,0
Reference (PSMA7_sg4),7,-,0
Reference (PSMA7_sg4),6,-,0
Reference (PSMA7_sg4),5,-,0
Reference (PSMA7_sg4),4,PAM,0
Reference (PSMA7_sg4),3,PAM,0
Reference (PSMA7_sg4),2,PAM,0
Reference (PSMA7_sg4),1,gRNA,0
Reference (PSMA7_sg4),0,gRNA,0
Reference (PSMA7_sg4),-1,gRNA,0
Reference (PSMA7_sg4),-2,gRNA,0
Reference (PSMA7_sg4),-3,gRNA,0
Reference (PSMA7_sg4),-4,gRNA,0
Reference (PSMA7_sg4),-5,gRNA,0
Reference (PSMA7_sg4),-6,gRNA,0
Reference (PSMA7_sg4),-7,gRNA,0
Reference (PSMA7_sg4),-8,gRNA,0
Reference (PSMA7_sg4),-9,gRNA,0
Reference (PSMA7_sg4),-10,gRNA,0
Reference (PSMA7_sg4),-11,gRNA,0
Reference (PSMA7_sg4),-12,gRNA,0
Reference (PSMA7_sg4),-13,gRNA,0
Reference (PSMA7_sg4),-14,gRNA,0
Reference (PSMA7_sg4),-15,gRNA,0
Reference (PSMA7_sg4),-16,gRNA,0
Reference (PSMA7_sg4),-17,gRNA,0
Reference (PSMA7_sg4),-18,gRNA,0
Reference (PSMA7_sg4),-19,gRNA,0
